Institute,Quota,Gender,Homestate
"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal",HS,Gender-Neutral,"Arunanchal Pradesh, Assam, Nagaland, Manipur, Meghalaya, Mizoram, Sikkim and Tripura"
"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal",HS,Female-only (including Supernumerary),"Arunanchal Pradesh, Assam, Nagaland, Manipur, Meghalaya, Mizoram, Sikkim and Tripura"
"Punjab Engineering College, Chandigarh",HS,Gender-Neutral,"Punjab, Chandigarh"
NIT Goa,HS,Gender-Neutral,"Lakshadweep, Dadra And Nagar Haveli, Daman & Diu
"
NIT Puducherry,HS,Gender-Neutral,Andaman Nicobar Islands
NIT Durgapur,HS,Female-only (including Supernumerary),Andaman Nicobar Islands
NIT Durgapur,OS,Female-only (including Supernumerary),Andaman Nicobar Islands
NIT Calicut,HS,Female-only (including Supernumerary),"Lakshadweep
"
NIT Calicut,OS,Female-only (including Supernumerary),"Lakshadweep
"
NIT Surat,HS,Female-only (including Supernumerary)," Dadra And Nagar Haveli, Daman & Diu"
NIT Surat,OS,Female-only (including Supernumerary)," Dadra And Nagar Haveli, Daman & Diu"
